InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV278081,S00026,Product 026,5,24-02-2024,107.26,C1086,France
INV130489,S00062,Product 062,6,15-04-2025,32,C1103,India
INV664578,S00079,Product 079,7,01-02-2025,7.42,C1012,USA
INV714712,S00032,Product 032,6,23-09-2024,46.96,C1013,United Kingdom
INV795353,S00092,Product 092,2,20-09-2024,25.26,C1036,United Kingdom
INV955445,S00077,Product 077,4,06-06-2025,60.58,C1072,USA
INV547624,S00020,Product 020,4,22-02-2024,146.94,C1096,Spain
INV846234,S00112,Product 112,9,27-02-2025,28.8,C1067,Spain
INV744661,S00006,Product 006,5,02-05-2024,49.19,C1059,France
INV349478,S00078,Product 078,6,27-02-2024,109.32,C1104,India
INV860607,S00053,Product 053,7,16-11-2024,77.36,C1020,Spain
INV147992,S00078,Product 078,4,16-08-2025,8.5,C1108,Germany
INV639000,S00093,Product 093,9,23-03-2025,25.93,C1037,Spain
INV946315,S00082,Product 082,7,07-04-2025,140.42,C1033,United Kingdom
INV693066,S00078,Product 078,8,12-03-2025,17.27,C1114,Germany
INV943355,S00101,Product 101,7,22-04-2025,95.99,C1077,Germany
INV150542,S00084,Product 084,6,08-11-2024,119.26,C1051,India
INV579173,S00097,Product 097,1,18-03-2024,41.28,C1039,India
INV802550,S00048,Product 048,6,25-05-2025,109.31,C1052,United Kingdom
INV678085,S00025,Product 025,-2,30-09-2024,27.14,C1094,USA
INV892481,S00028,Product 028,6,31-10-2024,44.14,C1018,India
INV516339,S00073,Product 073,7,13-08-2024,48.15,C1020,France
INV714342,S00064,Product 064,5,20-04-2024,149.47,C1036,Germany
INV477788,S00010,Product 010,3,17-07-2025,33.76,C1057,France
INV884906,S00025,Product 025,1,20-04-2025,21.12,C1097,Spain
INV207503,S00116,Product 116,7,26-01-2025,139,C1025,Spain
INV328707,S00087,Product 087,7,01-09-2024,25.97,C1094,France
INV187077,S00090,Product 090,5,15-05-2025,132.13,C1108,United Kingdom
INV731889,S00024,Product 024,7,27-11-2024,98.27,C1052,Spain
INV309458,S00008,Product 008,8,26-09-2024,87.38,C1115,India
